Num: b0=0 b1=0 b2=2 b3=6 size=4
  TH0R  [sp78]  (bytes dd 20)
  TH0V  [sp78]  (bytes 36 d7)
  TH0a  [sp78]  (bytes 2e 20)
  TH0b  [sp78]  (bytes 2e 20)
  TH0c  [sp78]  (bytes 81 00)
  THSP  [sp78]  (bytes 24 20)
  TM0P  [sp78]  (bytes 31 40)
  TPCD  [sp78]  (bytes 3c 00)
  TS2P  [sp78]  (bytes 2f e0)
  TW0P  [sp78]  (bytes 27 60)
  Ta0P  [sp78]  (bytes 2b 20)
  Th1H  [sp78]  (bytes 25 f0)
  Tm0P  [sp78]  (bytes 26 40)
  Ts0P  [sp78]  (bytes 20 00)
  Ts0S  [sp78]  (bytes 26 33)
  UBDC  [flag]  (bytes 00)
  UFIS  [ui32]  2 (bytes 00 00 00 02)
  UPRC  [ui16]  1 (bytes 00 01)
  UREV  [ui8 ]  (bytes a3)
  URPP  [ui32]  51 (bytes 00 00 00 33)
  URWD  [ui32]  0 (bytes 00 00 00 00)
  USR0  [ui32]  255 (bytes ff ff ff ff)
  USR1  [ui32]  255 (bytes ff ff ff ff)
  USR2  [ui32]  255 (bytes ff ff ff ff)
  USR3  [ui32]  112 (bytes 01 0f 4c 70)
  VAPC  [sp5a]  (bytes 0d 30)
  VC1C  [sp5a]  (bytes 04 31)
  VCS0  [sp5a]  (bytes 06 ec)
  VD0R  [sp5a]  (bytes 3b e8)
  VP0R  [sp5a]  (bytes 22 67)
  VSDC  [sp5a]  (bytes 00 00)
  WCPD  [ui8 ]  1 (bytes 01)
  WCPW  [ui8 ]  0 (bytes 00)
  WKEN  [ui8 ]  0 (bytes 00)
  WKTP  [ui8 ]  0 (bytes 00)
  WOr0  [si8 ]  (bytes ff)
  WOw0  [si8 ]  (bytes ff)
  ZPEN  [hex_]  (bytes 03)
  hSci  [ui8 ]  (bytes 00)
  hSdn  [flt ]  (bytes 00 00 00 00)
  hSii  [ui8 ]  (bytes 00)
  hSij  [ui8 ]  (bytes 00)
  hSup  [flt ]  (bytes 00 00 00 00)
  mSTC  [flt ]  (bytes 00 00 00 00)
  mSTD  [flt ]  (bytes 00 00 00 00)
  mSTK  [flt ]  (bytes 00 00 00 00)
  zDBG  [ui8 ]  (bytes 00)
  zDSF  [flag]  (bytes 00)
  zMOJ  [flag]  (bytes 01)
  zSEN  [flag]  (bytes 01)
