Num: b0=0 b1=0 b2=1 b3=ffffffc7 size=4
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes f6 06 01 00 00 00 b5 c5 71 05 ff 00 01 40 00 00 36 8f 00 00 02 00 b5 c7 00 00 00 00 00 00 00 00)
  EVSL  [ui8 ]  0 (bytes 00)
  F0Ac  [fpe2]  2153 (bytes 21 a4)
  F0ID  [{fds]  (bytes 00 00 0e 00 52 69 67 68 74 20 53 69 64 65 20 20)
  F0Mn  [fpe2]  2000 (bytes 1f 40)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  -8176 (bytes 80 40)
  F0Tg  [fpe2]  2156 (bytes 21 b0)
  F1Ac  [fpe2]  2000 (bytes 1f 40)
  F1ID  [{fds]  (bytes 00 00 0c 00 4c 65 66 74 20 73 69 64 65 20 00 00)
  F1Mn  [fpe2]  2000 (bytes 1f 40)
  F1Mt  [ui16]  0 (bytes ff 00)
  F1Mx  [fpe2]  7600 (bytes 76 c0)
  F1Tg  [fpe2]  2000 (bytes 1f 40)
  FNum  [ui8 ]  2 (bytes 02)
  FPDc  [fp79]  (bytes 1c 20)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HD0F  [ui8 ]  0 (bytes 00)
  HD0I  [{hdi]  (bytes 02 03 01 02 03 03 06 31 00 80 00 0b 00 00)
  HD0M  [ui8 ]  0 (bytes 00)
  HD0T  [ui16]  0 (bytes 00 00)
  HDBS  [ui8 ]  1 (bytes 01)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 02 00 02)
  HT0A  [sp78]  (bytes 54 00)
  HT0B  [sp78]  (bytes 54 00)
  HT0C  [sp78]  (bytes 00 00)
